key,Artist,genre,dance,energy,loudness,speechiness,acoustic,live,valence,tempo,popularity,log_popularity
2009 mac miller,Mac Miller,Rap,0.507220813581744,0.4909905324239031,0.697865718096932,0.5302085572995056,0.7801410019584473,0.07779276008712789,0.15439629785443837,0.6481671056717928,523723.0,5.719101646946637
21 polo g,Polo G,Rap,0.7828243854040349,0.4736842105263158,0.6622109826589595,0.5560094603311116,0.15095926101925697,0.08204543097189089,0.5330248212031974,0.7681880398900377,700773.4,5.845577608496117
24k magic bruno mars,Bruno Mars,Pop,0.8214088854591555,0.8035223455156266,0.8390673632725656,0.060094603311115886,0.03444412380829584,0.13598174463229956,0.637147665124106,0.3710302625979135,898394.078947368,5.953466880954916
3 nights dominic fike,Dominic Fike,Rock,0.818101642597288,0.5133869489972513,0.774816585148955,0.07084497957428511,0.22593421887674503,0.085157141375376,0.8948254101809003,0.6293780696810407,891137.694444444,5.949944814381621
4l 21 savage,21 Savage,Hiphop,0.8886561569837945,0.4034409040008144,0.7014784348599378,0.5667598365942809,0.0009049882683441281,0.08930608858002281,0.04638199411022297,0.21598477093134263,842608.0,5.92562557814635
5 in the morning charli xcx,Charli XCX,Pop,0.6163598280233712,0.7424412094064949,0.77017563361494,0.024295850354762415,0.038496824233024925,0.09656674618815476,0.3479175431215818,0.37739679545428406,651096.0,5.813645027272463
5% tint travis scott,Travis Scott,Other,0.7045529710065043,0.4757202483966202,0.807581147176523,0.026768436895291337,0.1752754635676315,0.22725858313452962,0.037652503155237695,0.5609910396944985,624444.0,5.795493497023234
7 years lukas graham,Lukas Graham,Pop,0.7629809282328299,0.46757609691540264,0.7960760337927968,0.029671038486347025,0.29077742567241033,0.38284410330878543,0.3300378628523349,0.4459218532534306,515786.75,5.712470181392852
8 letters why don't we,Why Don't We,Pop,0.5887994708411421,0.47266619159116363,0.799605380168964,0.007740270909481831,0.6575468141103925,0.07354008920236489,0.24063946150610013,0.26756116357446025,684098.0,5.8351183207414135
a gente fez amor - ao vivo gusttavo lima,Gusttavo Lima,Other,0.7949509425642157,0.9399368828260206,0.890256780791463,0.010535368737905823,0.3708182590608098,0.975106316772119,0.8411863693731594,0.5265531004497407,713891.25,5.85363205894416
a lot 21 savage,21 Savage,Hiphop,0.8423547569176496,0.6335131833452102,0.7456647398843931,0.06686734035691248,0.04001658689229833,0.3320195000518619,0.2606226335717291,0.5953369603975202,1356436.23333333,6.132399382202004
a thousand years christina perri,Christina Perri,Pop,0.3837504134053577,0.40038684719535783,0.7511671854157403,0.003117609116319071,0.3130672780084203,0.09138056218234623,0.14177534707614642,0.5554009132840267,791354.0,5.898370801898184
a tu merced bad bunny,Bad Bunny,Rap,0.8677102855253004,0.7913061182938003,0.8251167185415741,0.0354762416684584,0.1712227631429024,0.0872316149776994,0.9053428691628103,0.28506769113976466,978224.9,5.9904387132746395
